animal_id,time_s,mv
117,1.685,-0.121747
117,1.686,-0.118541
117,1.687,-0.116759
117,1.688,-0.115572
117,1.689,-0.115166
117,1.69,-0.116503
117,1.691,-0.120285
117,1.692,-0.125979
117,1.693,-0.132545
117,1.694,-0.14063
117,1.695,-0.153158
117,1.696,-0.1729
117,1.697,-0.199377
117,1.698,-0.227573
117,1.699,-0.249474
117,1.7,-0.258341
117,1.701,-0.252961
117,1.702,-0.238184
117,1.703,-0.22165
117,1.704,-0.209782
117,1.705,-0.205174
117,1.706,-0.206275
117,1.707,-0.209357
117,1.708,-0.21094
117,1.709,-0.208896
117,1.71,-0.202637
117,1.711,-0.193206
117,1.712,-0.183079
117,1.713,-0.175679
117,1.714,-0.174822
117,1.715,-0.183787
117,1.716,-0.203901
117,1.717,-0.23313
117,1.718,-0.265479
117,1.719,-0.292564
117,1.72,-0.307736
117,1.721,-0.309797
117,1.722,-0.302879
117,1.723,-0.293268
117,1.724,-0.286241
117,1.725,-0.284008
117,1.726,-0.285141
117,1.727,-0.286189
117,1.728,-0.284386
117,1.729,-0.279393
117,1.73,-0.273106
117,1.731,-0.267841
117,1.732,-0.264631
117,1.733,-0.263516
117,1.734,-0.265192
117,1.735,-0.271697
117,1.736,-0.285202
117,1.737,-0.305655
117,1.738,-0.328973
117,1.739,-0.348147
117,1.74,-0.357382
117,1.741,-0.355739
117,1.742,-0.347379
117,1.743,-0.338955
117,1.744,-0.335793
117,1.745,-0.338866
117,1.746,-0.344961
117,1.747,-0.34986
117,1.748,-0.351456
117,1.749,-0.350697
117,1.75,-0.350527
117,1.751,-0.353839
117,1.752,-0.361374
117,1.753,-0.369497
117,1.754,-0.368124
117,1.755,-0.341838
117,1.756,-0.276813
117,1.757,-0.171748
117,1.758,-0.047612
117,1.759,0.053372
117,1.76,0.087827
117,1.761,0.039878
117,1.762,-0.067546
117,1.763,-0.189341
117,1.764,-0.286233
117,1.765,-0.341857
117,1.766,-0.361925
117,1.767,-0.362701
117,1.768,-0.359033
117,1.769,-0.358506
117,1.77,-0.362082
117,1.771,-0.367472
117,1.772,-0.372235
117,1.773,-0.375632
117,1.774,-0.379291
117,1.775,-0.387055
117,1.776,-0.403447
117,1.777,-0.430165
117,1.778,-0.463103
117,1.779,-0.493584
117,1.78,-0.513492
117,1.781,-0.520004
117,1.782,-0.516503
117,1.783,-0.50964
117,1.784,-0.505064
117,1.785,-0.504792
117,1.786,-0.507314
117,1.787,-0.509288
117,1.788,-0.507723
117,1.789,-0.502052
117,1.79,-0.494565
117,1.791,-0.488572
117,1.792,-0.486229
117,1.793,-0.488089
117,1.794,-0.494472
117,1.795,-0.507223
117,1.796,-0.529462
117,1.797,-0.562469
117,1.798,-0.602633
117,1.799,-0.641836
117,1.8,-0.671365
117,1.801,-0.686778
117,1.802,-0.690427
117,1.803,-0.689507
117,1.804,-0.691242
